Adding shard node URL: jdbc:postgresql://10.0.0.31:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 300056
[OVERALL], Throughput(ops/sec), 268.3832351294425
[TOTAL_GCS_Copy], Count, 2
[TOTAL_GC_TIME_Copy], Time(ms), 11
[TOTAL_GC_TIME_%_Copy], Time(%), 0.0036659823499613406
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 2
[TOTAL_GC_TIME], Time(ms), 11
[TOTAL_GC_TIME_%], Time(%), 0.0036659823499613406
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 213.0
[CLEANUP], MinLatency(us), 213
[CLEANUP], MaxLatency(us), 213
[CLEANUP], 99thPercentileLatency(us), 213
[CLEANUP], 99.9PercentileLatency(us), 213
[UPDATE], Operations, 80530
[UPDATE], AverageLatency(us), 3715.2518937042096
[UPDATE], MinLatency(us), 2440
[UPDATE], MaxLatency(us), 122943
[UPDATE], 99thPercentileLatency(us), 9159
[UPDATE], 99.9PercentileLatency(us), 18719
[UPDATE], Return=OK, 80530
